"","neigh","long","lat","zipcode","value","closest_int"
"1","1",-82.835449,34.438087,"29623",0.520701789017796,"1"
"2","1",-82.71772,34.376689,"29684",-1.35634973221482,"2"
"3","1",-84.26491,33.772122,"30002",-0.0738680348536792,"1"
"4","1",-84.037859,33.960353,"30003",-0.996489205022093,"1"
"5","1",-84.30292,34.119177,"30004",-1.22038600436854,"1"
"6","1",-84.21929,34.080035,"30005",-0.722076135306036,"1"
"7","1",-84.557181,33.912473,"30006",0.32919180008144,"1"
"8","1",-84.557181,33.912473,"30007",0.0508215053087997,"1"
"9","1",-84.5788,33.907336,"30008",-1.00875534841215,"1"
"10","1",-84.47405,33.844371,"30009",0.270769609011511,"1"
"11","1",-84.037859,33.960353,"30010",0.268789684802939,"1"
"12","1",-83.83416,34.022974,"30011",0.915720122147637,"1"
"13","1",-84.01732,33.696714,"30012",-0.687441189383957,"1"
"14","1",-83.98382,33.633685,"30013",1.31586190515155,"1"
"15","1",-83.851,33.581406,"30014",0.578368606861331,"1"
"16","1",-83.864915,33.555791,"30015",-0.255225880835128,"1"
"17","1",-83.93372,33.542118,"30016",1.29758870252125,"1"
"18","1",-83.96848,33.888829,"30017",-1.65938296502254,"1"
"19","1",-83.801451,33.717989,"30018",-0.8506796241437,"1"
"20","1",-83.88302,33.981721,"30019",0.487875682745128,"1"
"21","1",-84.2387,33.809604,"30021",-0.541233559144577,"1"
"22","1",-84.24506,34.026238,"30022",-2.12140444318253,"1"
"23","1",-84.47405,33.844371,"30023",0.33319286880768,"1"
"24","1",-84.07485,34.052698,"30024",-1.15855172637814,"1"
"25","1",-83.70779,33.65072,"30025",-0.00479885550469008,"1"
"26","1",-84.092267,33.962979,"30026",1.68278921154716,"1"
"27","1",-84.092588,34.193041,"30028",0.538826544984341,"1"
"28","1",-84.037859,33.960353,"30029",-0.270437352422088,"1"
"29","1",-84.29407,33.771705,"30030",1.2053048522351,"1"
"30","1",-84.07456,33.891251,"30031",0.0184857332585662,"1"
"31","1",-84.26791,33.740055,"30032",-1.34591089179785,"1"
"32","1",-84.28335,33.811354,"30033",-1.81726057453068,"1"
"33","1",-84.24743,33.693448,"30034",1.22221687700227,"1"
"34","1",-84.21114,33.725739,"30035",-0.797898923797923,"1"
"35","1",-84.07456,33.891251,"30036",1.08993573943711,"1"
"36","1",-84.07456,33.891251,"30037",-0.291322511731342,"1"
"37","1",-84.15381,33.676358,"30038",-0.753374744333372,"1"
"38","1",-84.03707,33.822204,"30039",-1.56644311239926,"1"
"39","1",-84.17441,34.235408,"30040",1.25969417255093,"1"
"40","1",-84.09764,34.201503,"30041",-0.216414763603027,"1"
"41","1",-84.103226,33.929464,"30042",0.37712734192012,"1"
"42","1",-84.01487,34.001159,"30043",-1.4501002055489,"1"
"43","1",-84.07482,33.91967,"30044",-2.21586898688216,"1"
"44","1",-83.98565,33.949054,"30045",-0.766387321976413,"1"
"45","1",-84.037859,33.960353,"30046",-0.595332139480035,"1"
"46","1",-84.11655,33.872371,"30047",-0.787173123952492,"1"
"47","1",-84.037859,33.960353,"30048",2.05084781178859,"1"
"48","1",-84.26,33.64,"30049",1.33446724586613,"1"
"49","1",-83.89423,33.823809,"30052",-1.253038288282,"1"
"50","1",-83.86249,33.658113,"30054",-0.804772373184535,"1"
"51","1",-83.74735,33.504952,"30055",-1.32648596980711,"1"
"52","1",-83.67165,33.500008,"30056",-0.462256722385217,"1"
"53","1",-84.0964,33.750257,"30058",1.33408593252118,"1"
"54","1",-84.54746,33.932052,"30060",-0.468479379721055,"1"
"55","1",-84.556004,33.932842,"30061",-0.980354232687402,"1"
"56","1",-84.47464,33.99605,"30062",0.91867366587977,"1"
"57","1",-84.511209,33.965294,"30063",-0.14509430136991,"1"
"58","1",-84.602,33.946735,"30064",1.38299213645597,"1"
